district,orthodox_men,orthodox_women,russian_men,russian_women,total_men_census,total_women_census,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men_tax,total_women_tax,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable,total_poll_tax,total_census
Valli,1187,314,1204,288,2823,2147,970,14,416,508,0,0,1386,1911,1716,1207,374,262,11,0,38,3297,4970
Salakkalahti,55,58,48,55,269,353,132,214,61,77,0,0,193,291,225,211,48,54,0,0,7,484,622
Repola,130,154,115,125,1131,1442,560,832,249,280,0,0,809,1112,1045,625,251,104,2,0,17,1921,2573
P_Annan_kruunu,519,43,556,43,652,101,17,35,14,16,0,0,31,51,37,29,16,2,0,0,0,82,753
Pietarin_esikaupunki,248,181,236,165,1320,1333,719,856,354,413,0,0,1073,1269,1094,469,779,123,2,0,29,2342,2653
Sotilaslopotti,1,1,2,1,21,24,36,27,9,13,0,0,45,40,34,2,49,5,0,0,1,85,45
Anina,99,98,77,78,1011,1220,552,618,289,309,0,0,841,922,724,232,807,40,0,0,19,1763,2231
Viipurin_esikaupunki,514,201,572,193,1229,779,265,391,192,204,0,0,457,595,448,229,375,36,13,0,8,1052,2008
Saunalahti,24,28,23,24,46,124,18,53,6,47,0,0,24,100,44,32,48,15,0,0,2,124,170
Papula,75,34,40,26,1000,570,234,298,354,315,0,0,588,613,667,257,277,40,6,0,14,1201,1570
Pantsarlahti,134,143,113,96,1194,1600,711,968,307,388,0,0,1018,1356,997,483,894,93,0,0,24,2374,2794
Havi,3,1,0,0,77,111,33,41,21,32,0,0,54,73,6,37,84,3,0,0,0,127,188
Hiekka,11,11,10,11,129,146,78,79,46,49,0,0,124,128,77,54,121,5,0,0,2,252,275
Paulovski,2,2,2,1,9,18,6,10,5,10,0,0,11,20,13,3,15,2,0,0,1,31,27
